,Unnamed: 0,tweet_text,ocr_text,tweet_id,claim_binary,claim_three,claim_vis,topic
0,2009-06-13 05:20:17.891889153,"As we languish at home

➡️EMF systems in public places are being upgraded around the country (to 5G capability)
➡️our basic liberties are gone with no sound reason
➡️hospitals are empty in areas where normally they are overrun
➡️virus test centres are empty

Could this be true👇 https://t.co/Rwk73pbVc5","europereloaded.com
'Live Exercise': Pompeo Lets
Slip How He Sees the COVID-19
Pandemic
O March 28, 2020
Pam Barker
e COMMENTARY,
WORLD
EB
Pompeo: 'We're
in a live exercise
THE WHI
***
WASH
here'
VIDEO
Another False Flag?
THE WHITE HOUSE
WASHINGTON
Pam Barker | Director of TLB Europe
Reloaded Project
",1244870417891889153,1,2,1,tech
1,2008-09-30 13:06:08.171569152,"Sultan Mahmud Airport management holds briefing on #coronavirus

https://t.co/ZHVs3knBEI https://t.co/rCgqSDSz7Z",,1222779968171569152,1,1,2,covid
2,2008-09-27 05:47:27.654637569,"Governor Newsom Declares California A Coronavirus-Free Zone! Yippee!

https://t.co/ERxvhwVsYG https://t.co/ZukLBMPGVB","CORONAVIRUS-
FREE ZONE
VIOLATORS WILL FACE SEVERE
CRIMINAL PENALTIES
",1222494447654637569,1,2,2,covid
3,2008-10-02 17:58:03.944030211,"BREAKING: WHO declares coronavirus outbreak an international public health emergency
https://t.co/sU2xGDH9Jf https://t.co/AJ6IP6H4nk",,1222970283944030211,1,2,1,covid
4,2008-03-18 11:03:48.227424256,A4AI Nigeria harps on availability of digital infrastructure in achieving thriving digital economy in Nigeria - https://t.co/lta6D4Mfcq https://t.co/SRjRMTy42W,,1205838228227424256,1,2,2,tech
5,2002-09-24 10:05:52.467496960,Interesting perspective on climate change as seen by real estate economics. -&gt; Sea level rise already costs billions in lower home prices https://t.co/LyPMdGy6Km https://t.co/ujaJTAmKkr,"Loss in property value due to sea level rise and flooding
Projected losses by zip code, 2005 to 2033
TOTAL
PROPERTY
VALUE LOSS
Ра.
Gulf of
Меxiсо
N.Y.
Ga.
S.C.
N.C.
Va.
$50m
$1b
Fla.
A tlantiс Осеап
",1032861952467496960,1,1,2,climate
6,2008-09-28 08:02:23.432060929,"CNN: Drexel University discovers first case of the Coronavirus at the College’s Schiffert Center, Tuesday January 28
https://t.co/O4qvpuhXDE

According the to Dean of the University the case is under control. #coronaravirus https://t.co/TefgrOIjlu",,1222588943432060929,1,2,1,covid
7,2008-09-30 00:47:46.561204224,"Eight Wuhan residents reported the #coronavirus before the outbreak to authorities. They were swiftly detained by the police and charged with spreading rumors. (News from 2 weeks before the outbreak. Caption says ""8 people charged with spreading untrue rumors"") https://t.co/OXBpm58IRg",,1222735666561204224,1,2,1,covid
8,2008-09-30 03:29:29.819267078,"Coronavirus forces Apple, Google and other tech giants to take precautionary measures https://t.co/OxjlwdfZND https://t.co/fwDIQ1s3A8",,1222745369819267078,1,2,2,covid
9,2002-10-14 22:32:54.676004864,"The first draft of Technical Report on NDC Review &amp; Update is shared today for consultation with line ministries, Viet Nam Panel on Climate Change, and key multi stakeholders in Viet Nam. New elements in NDC will be discussed https://t.co/jQ1sOt0XTt","Federal Ministey
for the Environment. Nature Conseration
and Nuclear Safety
NDC
PARTNERSHIP
of the Federal Republic of Germany
UN
DP
AND DEVELOPMENT ACTIO
HỘI THẢO THAM VẤN
BÁO CÁO KỸ THUẬT VỀ RÀ SOÁT VÀ CẬP NHẬT
ĐÓNG GÓP DO QUỐC GIA TỰ QUYẾT ĐỊNH CỦA VIỆT NAM (NDC)
ĐÓNG
CONSULTATION WORKSHOP
TECHNICAL REPORT ON REVIEW AND UPDATE OF
giz
NATIONALLY DETERMINED CONTRIBUTION OF VIET NAM (NDC)
Ha Noi, 29 gust, 2018
",1034634774676004864,1,1,1,climate
10,2008-10-01 06:23:49.657653253,Blizzard cancels Chinese Overwatch matches after the coronavirus outbreak https://t.co/YmU8UDhttD https://t.co/XWSCkUplM6,,1222842229657653253,1,2,1,covid
11,2008-10-02 05:40:07.180627968,"In reaction to coronavirus scare, bishops in the Philippines and Singapore ban Communion on the tongue... - https://t.co/JbP0XAqrq9 https://t.co/yxYC6mckRT",,1222926007180627968,1,2,1,covid
